#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,4663.6,4724.0,103068.2,101354.8,1.0
1BDP,4601.2,4691.6,103600.6,102552.8,0.9999
2BDP,4677.0,4727.2,103115.0,101960.2,1.0
4BDP,4764.8,4773.2,102743.0,101027.0,1.0
8BDP,4719.0,4786.2,102688.0,101771.4,1.0
16BDP,4659.4,4710.4,102784.4,102571.0,1.0
