#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,12248.2,12161.0,49078.0,46359.0,1.0
1BDP,12059.8,12199.6,39479.2,41444.4,1.0
2BDP,12160.8,11861.6,33693.0,33319.6,0.9998
4BDP,12066.0,12220.6,40697.0,41242.2,1.0
8BDP,12136.2,11650.4,56773.0,53865.6,0.9996
16BDP,12184.4,11489.4,870.4,366.6,0.9991
