#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,50.12,50.62,1163.2,1843.6,1.0
1BDP,50.3,50.44,1704.2,1640.4,1.0
2BDP,50.88,50.88,1099.6,1579.0,1.0
4BDP,50.62,50.2,1223.8,960.2,1.0
8BDP,50.62,50.28,1131.4,720.4,1.0
16BDP,50.68,50.22,917.8,733.4,1.0
