#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,448.14,443.26,13045.6,12115.4,1.0
1BDP,447.58,443.88,13282.4,11927.4,1.0
2BDP,450.1,441.32,13294.0,11661.8,0.9999
4BDP,444.2,447.48,12296.4,12734.0,1.0
8BDP,447.08,444.44,12832.6,12237.8,1.0
16BDP,441.84,450.02,11736.0,13334.0,0.9999
