#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,231.36,267.42,2038.4,2310.8,0.9948
1BDP,203.4,296.02,1636.2,2596.6,0.9667
2BDP,151.48,348.04,939.8,2931.2,0.8659
4BDP,102.42,397.6,1019.2,1471.2,0.7416
8BDP,71.97,431.4,2313.8,1397.6,0.6623
16BDP,63.61,445.6,3858.0,3775.2,0.6399
