#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,462.76,475.32,11060.4,9968.4,0.9998
1BDP,462.42,475.32,11123.8,9867.8,0.9998
2BDP,460.86,477.22,11063.6,10060.2,0.9997
4BDP,459.86,478.78,11072.6,10103.0,0.9996
8BDP,459.84,478.52,10699.4,10355.6,0.9996
16BDP,465.76,472.34,11383.2,9578.6,1.0
