#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,268.24,232.74,13160.0,9916.8,0.995
1BDP,262.98,237.88,12339.0,9676.4,0.9975
2BDP,244.4,256.42,10333.2,11737.8,0.9994
4BDP,256.8,244.14,11583.2,10549.0,0.9994
8BDP,261.02,240.06,12892.0,9542.6,0.9983
16BDP,254.24,247.06,10821.0,11737.0,0.9998
