#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,13262.0,10975.2,92333.0,61171.2,0.9912
1BDP,13813.0,10545.4,80942.6,53528.0,0.9823
2BDP,13061.0,10977.6,18160.4,18934.0,0.9925
4BDP,11945.4,12546.4,2238.2,2655.0,0.9994
8BDP,10941.6,13232.6,258.6,588.2,0.9911
16BDP,10492.6,13861.8,2394.0,5709.2,0.9812
