#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,249.52,251.6,7927.6,13360.0,1.0
1BDP,252.22,249.02,14813.6,8123.0,1.0
2BDP,250.72,250.88,11356.4,9648.2,1.0
4BDP,251.06,250.26,7420.6,6856.6,1.0
8BDP,244.78,256.76,5863.2,8078.8,0.9994
16BDP,250.94,250.66,6820.0,8012.8,1.0
