#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,10667.2,2445.84,580477.2,137653.4,0.7178
1BDP,10626.2,2443.18,571802.0,137882.8,0.7184
2BDP,10606.6,2459.12,566684.6,139829.4,0.72
4BDP,10538.0,2447.4,572179.2,135590.8,0.7204
8BDP,10416.2,2470.9,562270.4,140896.8,0.7246
16BDP,10551.8,2457.02,572961.8,140308.0,0.7209
