#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,223.67,275.86,2177.6,3428.8,0.9892
1BDP,222.4,277.58,3160.8,2950.6,0.988
2BDP,208.96,291.8,2677.6,2694.0,0.9734
4BDP,147.56,334.94,2042.0,3645.6,0.8689
8BDP,209.2,294.7,4948.2,2429.2,0.972
16BDP,175.39,334.34,3962.6,3303.6,0.9114
