#bws,#bw_num,alg1_mean_throughput_2BDP,alg2_mean_throughput_2BDP,alg1_mean_retx_packets_2BDP,alg2_mean_retx_packets_2BDP,fairness_2BDP,alg1_mean_throughput_16BDP,alg2_mean_throughput_16BDP,alg1_mean_retx_packets_16BDP,alg2_mean_retx_packets_16BDP,fairness_16BDP
100mbps,100,73.7,27.74,5519.0,1121.2,0.8297,73.52,27.76,4938.2,1332.4,0.8305
500mbps,500,418.22,82.1,13336.8,4949.8,0.689,414.42,85.7,12154.6,5874.0,0.6983
1gbps,1000,843.12,155.04,25748.8,7082.0,0.6779,843.3,154.94,25206.6,8037.6,0.6777
10gbps,10000,8743.0,1215.92,332232.2,57041.6,0.6364,8744.6,1218.24,330832.2,55873.2,0.6367
25gbps,25000,10606.6,2459.12,566684.6,139829.4,0.72,10551.8,2457.02,572961.8,140308.0,0.7209
