#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,232.67,267.18,104711.4,119773.8,0.9953
1BDP,256.28,244.4,103633.8,102173.4,0.9994
2BDP,249.38,250.0,23268.4,22857.6,1.0
4BDP,244.84,254.4,1618.8,1951.0,0.9996
8BDP,265.68,233.4,0.0001,0.0001,0.9958
16BDP,255.46,244.0,0.0001,0.0001,0.9995
