#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,52.64,48.96,23774.6,21020.2,0.9987
1BDP,51.14,50.16,21610.6,21419.0,0.9999
2BDP,52.08,49.54,21948.0,21352.0,0.9994
4BDP,52.14,49.42,23178.6,21509.0,0.9993
8BDP,51.1,50.56,20758.8,21812.6,1.0
16BDP,46.22,55.36,19485.6,25123.8,0.992
