#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,575.96,404.72,168392.0,135553.0,0.9704
1BDP,238.08,742.26,97520.4,201422.8,0.7908
2BDP,564.97,416.12,167142.0,139176.0,0.9775
4BDP,407.99,573.02,136019.0,167138.4,0.9725
8BDP,241.3,739.66,98112.6,203349.8,0.7949
16BDP,563.51,418.23,159609.0,140496.8,0.9786
