#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,481.38,14.81,166478.6,5071.0,0.5307
1BDP,478.14,21.77,137952.4,5290.8,0.5454
2BDP,320.38,180.6,11811.2,4008.4,0.9278
4BDP,207.28,295.52,3510.0,3522.4,0.9701
8BDP,221.48,282.92,2311.8,2862.8,0.9854
16BDP,171.72,336.8,2945.2,4768.2,0.9047
