#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,52.52,48.52,17657.0,2131.2,0.9984
1BDP,53.28,47.9,19604.2,1062.0,0.9972
2BDP,53.66,47.58,15197.2,1046.8,0.9964
4BDP,52.8,48.36,13873.4,2593.8,0.9981
8BDP,53.56,47.96,14762.6,937.8,0.997
16BDP,53.34,48.08,14365.2,1029.8,0.9973
