#BDP,alg1_mean_throughput,alg2_mean_throughput,alg1_mean_retx_packets,alg2_mean_retx_packets,fairness_index
0.5BDP,5902.8,4060.2,44851.6,30700.0,0.9669
1BDP,6161.2,3808.0,50958.0,28954.8,0.9472
2BDP,5685.0,4304.0,47824.2,29126.0,0.9812
4BDP,5342.6,4646.0,58759.0,30015.6,0.9952
8BDP,6141.2,3863.6,106259.8,25937.0,0.9507
16BDP,5359.6,4667.2,80654.6,33797.6,0.9953
